"Sample_ID","Taxonomy","Frequency","Treatment","Spike","Lysis","copie_number","readcell"
"F8","I",0,"100cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"F8","S",0,"100cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"F8","T",5,"100cfu","Enumeration Spike-in","Gram-positive Lysis",2,2.5
"G8","C",8,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",3,2.66666666666667
"G8","A",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"G8","L",53,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",6,8.83333333333333
"G8","I",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"G8","S",57,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",7,8.14285714285714
"G8","T",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",2,0
"A9","C",0,"No Spike Control","Pathogen Spike-in","Gram-positive Lysis",3,0
"A9","A",0,"No Spike Control","Enumeration Spike-in","Gram-positive Lysis",7,0
"A9","L",0,"No Spike Control","Pathogen Spike-in","Gram-positive Lysis",6,0
"A9","I",0,"No Spike Control","Enumeration Spike-in","Gram-positive Lysis",3,0
"A9","S",0,"No Spike Control","Pathogen Spike-in","Gram-positive Lysis",7,0
"A9","T",0,"No Spike Control","Enumeration Spike-in","Gram-positive Lysis",2,0
"B9","C",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-positive Lysis",3,0
"B9","A",0,"Enumeration Spike Control","Enumeration Spike-in","Gram-positive Lysis",7,0
"B9","L",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-positive Lysis",6,0
"B9","I",0,"Enumeration Spike Control","Enumeration Spike-in","Gram-positive Lysis",3,0
"B9","S",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-positive Lysis",7,0
"B9","T",5,"Enumeration Spike Control","Enumeration Spike-in","Gram-positive Lysis",2,2.5
"C9","C",0,"0.1cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"C9","A",0,"0.1cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"C9","L",0,"0.1cfu","Pathogen Spike-in","Gram-positive Lysis",6,0
"C9","I",0,"0.1cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"C9","S",7,"0.1cfu","Pathogen Spike-in","Gram-positive Lysis",7,1
"C9","T",16,"0.1cfu","Enumeration Spike-in","Gram-positive Lysis",2,8
"D9","C",0,"1cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"D9","A",0,"1cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"D9","L",0,"1cfu","Pathogen Spike-in","Gram-positive Lysis",6,0
"D9","I",0,"1cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"D9","S",0,"1cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"D9","T",9,"1cfu","Enumeration Spike-in","Gram-positive Lysis",2,4.5
"E9","C",0,"10cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"E9","A",0,"10cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"E9","L",0,"10cfu","Pathogen Spike-in","Gram-positive Lysis",6,0
"E9","I",0,"10cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"E9","S",0,"10cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"E9","T",12,"10cfu","Enumeration Spike-in","Gram-positive Lysis",2,6
"F9","C",0,"100cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"F9","A",0,"100cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"F9","L",11,"100cfu","Pathogen Spike-in","Gram-positive Lysis",6,1.83333333333333
"F9","I",0,"100cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"F9","S",0,"100cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"F9","T",16,"100cfu","Enumeration Spike-in","Gram-positive Lysis",2,8
"G9","C",6,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",3,2
"G9","A",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"G9","L",50,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",6,8.33333333333333
"G9","I",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"G9","S",34,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",7,4.85714285714286
"G9","T",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",2,0
"A10","C",0,"No Spike Control","Pathogen Spike-in","Gram-positive Lysis",3,0
"A10","A",0,"No Spike Control","Enumeration Spike-in","Gram-positive Lysis",7,0
"A10","L",0,"No Spike Control","Pathogen Spike-in","Gram-positive Lysis",6,0
"A10","I",0,"No Spike Control","Enumeration Spike-in","Gram-positive Lysis",3,0
"A10","S",0,"No Spike Control","Pathogen Spike-in","Gram-positive Lysis",7,0
"A10","T",0,"No Spike Control","Enumeration Spike-in","Gram-positive Lysis",2,0
"B10","C",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-positive Lysis",3,0
"B10","A",0,"Enumeration Spike Control","Enumeration Spike-in","Gram-positive Lysis",7,0
"B10","L",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-positive Lysis",6,0
"B10","I",3,"Enumeration Spike Control","Enumeration Spike-in","Gram-positive Lysis",3,1
"B10","S",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-positive Lysis",7,0
"B10","T",4,"Enumeration Spike Control","Enumeration Spike-in","Gram-positive Lysis",2,2
"C10","C",0,"0.1cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"C10","A",0,"0.1cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"C10","L",0,"0.1cfu","Pathogen Spike-in","Gram-positive Lysis",6,0
"C10","I",0,"0.1cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"C10","S",0,"0.1cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"C10","T",12,"0.1cfu","Enumeration Spike-in","Gram-positive Lysis",2,6
"D10","C",0,"1cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"D10","A",0,"1cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"D10","L",0,"1cfu","Pathogen Spike-in","Gram-positive Lysis",6,0
"D10","I",2,"1cfu","Enumeration Spike-in","Gram-positive Lysis",3,0.666666666666667
"D10","S",0,"1cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"D10","T",6,"1cfu","Enumeration Spike-in","Gram-positive Lysis",2,3
"E10","C",0,"10cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"E10","A",0,"10cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"E10","L",0,"10cfu","Pathogen Spike-in","Gram-positive Lysis",6,0
"E10","I",0,"10cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"E10","S",0,"10cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"E10","T",9,"10cfu","Enumeration Spike-in","Gram-positive Lysis",2,4.5
"F10","C",0,"100cfu","Pathogen Spike-in","Gram-positive Lysis",3,0
"F10","A",0,"100cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"F10","L",5,"100cfu","Pathogen Spike-in","Gram-positive Lysis",6,0.833333333333333
"F10","I",0,"100cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"F10","S",0,"100cfu","Pathogen Spike-in","Gram-positive Lysis",7,0
"F10","T",5,"100cfu","Enumeration Spike-in","Gram-positive Lysis",2,2.5
"G10","C",13,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",3,4.33333333333333
"G10","A",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",7,0
"G10","L",31,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",6,5.16666666666667
"G10","I",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",3,0
"G10","S",30,"1000cfu","Pathogen Spike-in","Gram-positive Lysis",7,4.28571428571429
"G10","T",0,"1000cfu","Enumeration Spike-in","Gram-positive Lysis",2,0
